"city","code","title","url","pages"
"広島県東広島市",342122,"保育施設利用申込案内～令和６年度版～ ","https://www.city.higashihiroshima.lg.jp/material/files/group/37/reiwa6nendohoikusa-bisunogoannnai.pdf",12
"山口県山口市",352039,"令和6年度保育施設入園のご案内","https://www.city.yamaguchi.lg.jp/uploaded/attachment/90298.pdf",32
"徳島県徳島市",362018,"令和6年度　保育所等　利用申込のてびき（保育所部分（2・3 号認定）新規申込用）","https://www.city.tokushima.tokushima.jp/kosodate/youchien_hoikujo/hoikusho_n-kodomoen/R06_hoiku_moushikomi.files/R06_tebiki_hoiku23.pdf",44
"香川県高松市",372013,"令和6年度幼稚園・保育施設等利用案内","https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/hoiku/h29riyou.files/R6riyouannaih1p51.pdf
https://www.city.takamatsu.kagawa.jp/kurashi/kosodate/youchien_hoiku/kodomoen/hoiku/h29riyou.files/R6riyouannaip52h4.pdf",0
"愛媛県松山市",382019,"令和6年度入園のてびき","https://www.city.matsuyama.ehime.jp/kurashi/kosodate/boshi/R2nen4gatsu-shinki/202504nyuuenn.files/20231201.pdf",34
"高知県高知市",392014,"令和6年度高知市保育施設入所申込案内","https://www.city.kochi.kochi.jp/uploaded/attachment/138912.pdf",64
"福岡県北九州市",401005,"令和6年度 保育の利用のごあんない","https://www.city.kitakyushu.lg.jp/files/000999640.pdf
https://www.city.kitakyushu.lg.jp/files/000999633.pdf
https://www.city.kitakyushu.lg.jp/files/000999645.pdf
https://www.city.kitakyushu.lg.jp/files/000999634.pdf
https://www.city.kitakyushu.lg.jp/files/000999635.pdf
https://www.city.kitakyushu.lg.jp/files/000999636.pdf
https://www.city.kitakyushu.lg.jp/files/000999641.pdf
https://www.city.kitakyushu.lg.jp/files/000999637.pdf
https://www.city.kitakyushu.lg.jp/files/000999642.pdf
https://www.city.kitakyushu.lg.jp/files/000999643.pdf
https://www.city.kitakyushu.lg.jp/files/000999638.pdf
https://www.city.kitakyushu.lg.jp/files/000999639.pdf",0
"福岡県福岡市",401307,"令和６年度福岡市保育施設等利用のご案内","https://www.city.fukuoka.lg.jp/data/open/cnt/3/113856/1/0.R6hoikushiseturiyouannai.pdf?20231116142743",52
"福岡県筑紫野市",402176,"令和6年度保育所入所申込説明書","https://www.city.chikushino.fukuoka.jp/uploaded/attachment/19776.pdf",12
"福岡県春日市",402184,"令和6年度かすが保育ガイド","https://www.city.kasuga.fukuoka.jp/_res/projects/default_project/_page_/001/001/522/r6gaido.pdf",60
"福岡県大野城市",402192,"令和6年度大野城市保育所ガイド","https://www.city.onojo.fukuoka.jp/kosodate/k006/010/060/010/010/060/R61116.pdf",79
"福岡県太宰府市",402214,"太宰府市認可保育施設 入所案内 －令和６年度版－ ","https://www.city.dazaifu.lg.jp/uploaded/attachment/19262.pdf",14
"福岡県志免町",403431,"令和6年度 志免町保育施設等利用申し込み案内","https://www.town.shime.lg.jp/uploaded/attachment/22659.pdf",4
"福岡県粕屋町",403491,"令和６年度 粕屋町認可保育施設 利用申込案内","http://form.town.kasuya.fukuoka.jp/kosodate/s019/060/010/010/170/riyouannnai.pdf",22
"佐賀県佐賀市",412015,"令和6年度 利用申込支給認定申請（2.3号認定）のてびき","https://www.city.saga.lg.jp/site_files/file/2023/202309/p1hba0bhash6u4bp1schmm6pa54.pdf",16
"長崎県長崎市",422011,"令和６年度 保育所・認定こども園等利用のしおり ","https://ekao-ng.jp/wp-content/uploads/2023/10/冊子%E3%80%80令和6年度利用のしおり.pdf",27
"長崎県大村市",422053,"保育所等への入所手続のしおり","https://www.city.omura.nagasaki.jp/kyouikuhoiku/kenko/kosodate/hoikujo/nyusyo/documents/r6hoikusyotouhenonyuusyotetsudukinoshiori.pdf",4
"熊本県熊本市",431001,"令和６年度（2024年度）熊本市保育所等申込案内","https://www.city.kumamoto.jp/common/UploadFileDsp.aspx?c_id=5&id=50755&sub_id=1&flid=365554",24
"熊本県菊陽町",434043,"令和5年度菊陽町保育所等入所案内（随時選考）","https://www.town.kikuyo.lg.jp/kiji0031121/3_1121_11538_up_rt1hnjg6.pdf",2
"大分県大分市",442011,"教育・保育給付認定（2号・3号）兼保育施設入所申込のてびき","https://www.city.oita.oita.jp/o253/kosodate/hoiku/documents/20230401kyouikuhoikukyuuhuninteisinseinotebiki1gou.pdf",2
"宮崎県宮崎市",452017,"令和 6 年度版　宮崎市教育・保育施設利用ガイド","https://www.city.miyazaki.miyazaki.jp/fs/7/7/6/4/6/8/_/776468.pdf",62
"鹿児島県鹿児島市",462012,"令和6年度鹿児島市認可保育所等利用申込案内","https://www.city.kagoshima.lg.jp/kosodate/hoiku/kosodate/kosodate/hoikusho/hoikusho/h30hoiku/documents/r6mousikomiannaino2.pdf",40
"鹿児島県姶良市",462250,"令和6年度保育所等入所申込み案内","http://www.city.aira.lg.jp/kosodate/kurashi/ikuji/hoikuen/documents/01annai-r6.pdf",20
"沖縄県那覇市",472018,"令和6年度認可保育園・認定こども園入園申込みのご案内","https://www.city.naha.okinawa.jp/child/hoikuen/ninteikodomoen/R6hoikuen_moushikomi.files/R6.10.23honnbunn.pdf",58
"沖縄県宜野湾市",472051,"令和6年4月宜野湾市認可保育施設一斉入所のご案内","https://www.city.ginowan.lg.jp/material/files/group/21/r6annaipanfuretto.pdf",43
"沖縄県浦添市",472085,"入所案内（１号・２号・３号共通パンフレット）","https://prdurbanosursapp1.blob.core.windows.net/common-article/62e73d58cfb333550bfdffb7/%E4%BB%A4%E5%92%8C6%E5%B9%B4%E5%BA%A6%E6%B5%A6%E6%B7%BB%E5%B8%82%E8%AA%8D%E5%AE%9A%E3%81%93%E3%81%A9%E3%82%82%E5%9C%92%E4%BF%9D%E8%82%B2%E6%89%80%E7%AD%89%E5%85%A5%E5%9C%92%E6%A1%88%E5%86%85.pdf",24
"沖縄県沖縄市",472115,"令和６年度 保育所等及び市立幼稚園入園案内","https://www.city.okinawa.okinawa.jp/documents/19253/nyusyoannai.pdf",56
"沖縄県豊見城市",472123,"令和6年度 豊見城市認定こども園・保育園等利用申込みのご案内","https://www.city.tomigusuku.lg.jp/material/files/group/22/R6_sinnkiannnaisassi.pdf",46
"沖縄県うるま市",472131,"令和６年度　保育施設等　入所案内","https://www.city.uruma.lg.jp/documents/2929/29504nyuusyoannai28229.pdf",26
"沖縄県南城市",472158,"令和6年度(2024年度) 認定こども園・保育所等入所案内","https://www.city.nanjo.okinawa.jp/userfiles/files/0_boshuannai.pdf",44
"沖縄県北中城村",473278,"令和6年度北中城村保育施設入所案内","https://www.vill.kitanakagusuku.lg.jp/material/files/group/56/R6pamphlet.pdf",8
